,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
256,sorted_bam/Super_Jack_RSP10586_Drug_THC_sorted.bam,0.071024925,-0.071327466,-0.017943383,-0.04434899,Super_Jack_Type I_F_RSP10586,Type I
263,sorted_bam/Tangerine_Haze_1_RSP10944_Drug_THC_sorted.bam,0.083113412,-0.088438096,-0.134143629,0.01478402,Tangerine_Haze_1_Type I_F_RSP10944,Type I
264,sorted_bam/Tangerine_RSP10244_Drug_THC_sorted.bam,-0.024854464,-0.026755056,0.052444532,0.032178166,Tangerine_Type I_F_RSP10244,Type I
268,sorted_bam/The_Bomb_RSP10174_Drug_THC_sorted.bam,0.092188049,0.001676991,-0.07545603,-0.011603064,The_Bomb_Type I_M_RSP10174,Type I
281,sorted_bam/Wappa_RSP10430_Drug_THC_sorted.bam,0.038520136,-0.061205974,-0.022904495,0.053623731,Wappa_Type I_F_RSP10430,Type I
285,sorted_bam/White_Russian_RSP10175_Drug_THC_sorted.bam,0.017841357,-0.089328778,-0.051991279,-0.029889206,White_Russian_Type I_F_RSP10175,Type I
288,sorted_bam/Witches_Weed_RSP10165_Drug_THC_sorted.bam,-0.01340937,-0.034632428,-0.083479126,0.003241878,Witches_Weed_Type I_F_RSP10165,Type I
48,sorted_bam/Blue_Essence_RSP10386_Drug_THC_CBD_sorted.bam,-0.02964712,0.006277541,0.063566492,-0.016157856,Blue_Essence_Type II_F_RSP10386,Type II
61,sorted_bam/CANNATONIC_1_RSP10082_Drug_CBD_sorted.bam,0.033984532,-0.046758004,0.041910205,-0.042055999,CANNATONIC_1_Type II_F_RSP10082,Type II
68,sorted_bam/CBD_Mango_Haze_RSP10090_Drug_CBD_sorted.bam,0.055027121,-0.035864293,0.051098556,-0.059630485,CBD_Mango_Haze_Type II_F_RSP10090,Type II
75,sorted_bam/Chem_Dawg_RSP10192_Drug_THC_sorted.bam,0.026731221,-0.040520259,-0.013591852,-0.009526369,Chem_Dawg_Type II_F_RSP10192,Type II
76,sorted_bam/ChemDog_RSP10387_Drug_THC_sorted.bam,0.007096722,-0.027298607,-0.060573524,-0.022537843,ChemDog_Type II_F_RSP10387,Type II
