name,hcpc_order,check,BAR
Blueberry_Cheesecake_4_no info_not reported_RSP10205,134,Blueberry_Cheesecake_4_no info_not reported_RSP10205,no info
Otto_1_no info_M_RSP10126,135,Otto_1_no info_M_RSP10126,no info
AK47_1_no info_F_RSP10120,136,AK47_1_no info_F_RSP10120,no info
Mengma_no info_M_RSP10051,137,Mengma_no info_M_RSP10051,no info
GUERILLA_MEDS_Type II_F_RSP10083,138,GUERILLA_MEDS_Type II_F_RSP10083,Type II
Saint_Jack_1_Type I_F_RSP10210,139,Saint_Jack_1_Type I_F_RSP10210,Type I
Congo_no info_F_RSP10432,140,Congo_no info_F_RSP10432,no info
BGKC_4_1_Type III_F_RSP10426,141,BGKC_4_1_Type III_F_RSP10426,Type III
BGKC_45_no info_F_RSP10427,142,BGKC_45_no info_F_RSP10427,no info
HARLE_TSU_2_Type III_F_RSP10101,143,HARLE_TSU_2_Type III_F_RSP10101,Type III
CBD_Mango_Haze_Type II_F_RSP10090,144,CBD_Mango_Haze_Type II_F_RSP10090,Type II
Kimbo_Slice_1_Type I_F_RSP10949,145,Kimbo_Slice_1_Type I_F_RSP10949,Type I
Sour_Kush_Type I_F_RSP10600,146,Sour_Kush_Type I_F_RSP10600,Type I
Blue_Essence_Type II_F_RSP10386,147,Blue_Essence_Type II_F_RSP10386,Type II
Dark_Knight_3_Type I_F_RSP10960,148,Dark_Knight_3_Type I_F_RSP10960,Type I
Banana_Split_no info_F_RSP10350,149,Banana_Split_no info_F_RSP10350,no info
Diana_2_Type II_F_RSP10235,150,Diana_2_Type II_F_RSP10235,Type II
Golden_Ticket_Type I_F_RSP10610,151,Golden_Ticket_Type I_F_RSP10610,Type I
Strawberry_Lemonade_Type I_F_RSP10588,152,Strawberry_Lemonade_Type I_F_RSP10588,Type I
White_Widow_no info_not reported_RSP10561,153,White_Widow_no info_not reported_RSP10561,no info
Ninja_Fruit_no info_not reported_RSP10478,154,Ninja_Fruit_no info_not reported_RSP10478,no info
Super_Silver_White_Widow_no info_F_RSP10219,155,Super_Silver_White_Widow_no info_F_RSP10219,no info
Harlow_no info_not reported_RSP10560,156,Harlow_no info_not reported_RSP10560,no info
Chernobyl_Type I_F_RSP10177,157,Chernobyl_Type I_F_RSP10177,Type I
Blueberry_Cheesecake_2_no info_M_RSP10202,158,Blueberry_Cheesecake_2_no info_M_RSP10202,no info
Killawatt_Type I_F_RSP10608,159,Killawatt_Type I_F_RSP10608,Type I
Agent_Orange_2_Type I_F_RSP10605,160,Agent_Orange_2_Type I_F_RSP10605,Type I
Old_School_Blueberry_no info_F_RSP10149,161,Old_School_Blueberry_no info_F_RSP10149,no info
Unknown_1_no info_M_RSP10395,162,Unknown_1_no info_M_RSP10395,no info
Black_84_Type I_F_RSP10385,163,Black_84_Type I_F_RSP10385,Type I
Banana_Kush_1_no info_F_RSP10162,164,Banana_Kush_1_no info_F_RSP10162,no info
Blueberry_Cheesecake_8_Type I_F_RSP10573,165,Blueberry_Cheesecake_8_Type I_F_RSP10573,Type I
Black_Beauty_1_Type I_F_RSP10697,166,Black_Beauty_1_Type I_F_RSP10697,Type I
Blueberry_Cheesecake_7_no info_F_RSP10564,167,Blueberry_Cheesecake_7_no info_F_RSP10564,no info
Sensi_Star_no info_F_RSP10407,168,Sensi_Star_no info_F_RSP10407,no info
Purple_Kush_X_Super_Silver_Haze_no info_F_RSP10409,169,Purple_Kush_X_Super_Silver_Haze_no info_F_RSP10409,no info
Canna_tsu_no info_M_RSP10391,170,Canna_tsu_no info_M_RSP10391,no info
Land_Race_Jamaican_1_no info_F_RSP10152,171,Land_Race_Jamaican_1_no info_F_RSP10152,no info
Miche_Nepal_no info_M_RSP10207,172,Miche_Nepal_no info_M_RSP10207,no info
Girl_Scout_Cookies_x_AK47_no info_F_RSP10125,173,Girl_Scout_Cookies_x_AK47_no info_F_RSP10125,no info
Trainwreck_1_no info_M_RSP10068,174,Trainwreck_1_no info_M_RSP10068,no info
UNITY_Type II_F_RSP10081,175,UNITY_Type II_F_RSP10081,Type II
Unknown_2_no info_M_RSP10396,176,Unknown_2_no info_M_RSP10396,no info
Agent_Orange_1_no info_not reported_RSP10559,177,Agent_Orange_1_no info_not reported_RSP10559,no info
Blueberry_Cheesecake_3_no info_M_RSP10204,178,Blueberry_Cheesecake_3_no info_M_RSP10204,no info
Hash_Plant_Puck_no info_F_RSP10155,179,Hash_Plant_Puck_no info_F_RSP10155,no info
Cinex_Type I_F_RSP10388,180,Cinex_Type I_F_RSP10388,Type I
AK47_2_Type I_not reported_RSP10523,181,AK47_2_Type I_not reported_RSP10523,Type I
Maui_Waui_Type I_F_RSP10251,182,Maui_Waui_Type I_F_RSP10251,Type I
L_Eagle_Eagle_Type I_F_RSP10247,183,L_Eagle_Eagle_Type I_F_RSP10247,Type I
Golden_Goat_2_1_Type I_F_RSP10945,184,Golden_Goat_2_1_Type I_F_RSP10945,Type I
Sour_Tsunami_3_Type II_F_RSP10607,185,Sour_Tsunami_3_Type II_F_RSP10607,Type II
Pineberry_no info_F_RSP10123,186,Pineberry_no info_F_RSP10123,no info
Sour_Tsunami_2_Type I_F_RSP10595,187,Sour_Tsunami_2_Type I_F_RSP10595,Type I
Cherry_Diesel_Type I_F_RSP10609,188,Cherry_Diesel_Type I_F_RSP10609,Type I
The_Bomb_Type I_M_RSP10174,189,The_Bomb_Type I_M_RSP10174,Type I
In_the_Pines_Type I_F_RSP10172,190,In_the_Pines_Type I_F_RSP10172,Type I
Buddhas_Sister_no info_F_RSP10265,191,Buddhas_Sister_no info_F_RSP10265,no info
Blue_Dream_8_no info_F_RSP10580,192,Blue_Dream_8_no info_F_RSP10580,no info
Outer_Space_Type I_F_RSP10591,193,Outer_Space_Type I_F_RSP10591,Type I
Hawaiian_Sunrise_Type I_not reported_RSP10525,194,Hawaiian_Sunrise_Type I_not reported_RSP10525,Type I
Superbud_Autoflower_no info_not reported_RSP10433,195,Superbud_Autoflower_no info_not reported_RSP10433,no info
Jamaican_Lion_2_no info_not reported_RSP10694,196,Jamaican_Lion_2_no info_not reported_RSP10694,no info
Jamaican_Lion_1_no info_not reported_RSP10693,197,Jamaican_Lion_1_no info_not reported_RSP10693,no info
Northern_Lights_1_no info_F_RSP10026,198,Northern_Lights_1_no info_F_RSP10026,no info
McGrupp_6_Type I_F_RSP10959,199,McGrupp_6_Type I_F_RSP10959,Type I
Purple_Candy_Cane_Type I_F_RSP10176,200,Purple_Candy_Cane_Type I_F_RSP10176,Type I
Snowcap_2_Type I_F_RSP10194,201,Snowcap_2_Type I_F_RSP10194,Type I
Sleestack_x_Skunk_no info_F_RSP10300,202,Sleestack_x_Skunk_no info_F_RSP10300,no info
OG_Kush_no info_M_RSP10070,203,OG_Kush_no info_M_RSP10070,no info
